,WorfClass_cat_Private,Education NumCat_Medium,Education NumCat_High,AgeCat_Young,AgeCat_Middle_aged,Hours/WeekCat_Medium,Hours/WeekCat_High,Marital Status_cat_Single,Marital Status_cat_married,Occupa_cat_Highskill,Occupa_cat_Lowskill,Relationship_ Husband,Relationship_ Not-in-family,Sex_ Female,Sex_ Male
0,False,False,True,False,True,True,False,True,False,False,True,False,True,False,True
1,False,False,True,False,True,False,False,False,True,True,False,True,False,False,True
2,True,True,False,False,True,True,False,True,False,False,True,False,True,False,True
3,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True
4,True,False,True,True,False,True,False,False,True,True,False,False,False,True,False
5,True,False,True,False,True,True,False,False,True,True,False,False,False,True,False
6,True,False,False,False,True,False,False,False,True,False,True,False,True,True,False
7,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True
8,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False
9,True,False,True,False,True,True,False,False,True,True,False,True,False,False,True
10,True,True,False,False,True,False,False,False,True,True,False,True,False,False,True
11,False,False,True,True,False,True,False,False,True,True,False,True,False,False,True
12,True,False,True,True,False,False,False,True,False,False,True,False,False,True,False
13,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True
15,True,False,False,False,True,False,True,False,True,False,True,True,False,False,True
16,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True
17,True,True,False,False,True,True,False,True,False,False,True,False,False,False,True
18,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True
19,False,False,True,False,True,False,True,True,False,True,False,False,False,True,False
20,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True
21,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False
22,False,False,False,False,True,True,False,False,True,False,True,True,False,False,True
23,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True
24,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False
25,False,False,True,False,False,True,False,False,True,False,True,True,False,False,True
26,True,True,False,True,False,True,False,True,False,False,True,False,False,False,True
28,True,True,False,False,True,False,False,True,False,True,False,False,True,False,True
29,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True
30,False,False,True,True,False,False,True,True,False,False,True,False,True,False,True
31,True,True,False,True,False,False,True,True,False,False,True,False,False,False,True
32,True,False,True,False,True,True,False,True,False,True,False,False,False,False,True
33,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True
34,False,True,False,True,False,False,False,False,True,False,True,True,False,False,True
35,True,True,False,False,True,True,False,True,False,False,True,False,False,False,True
36,True,True,False,True,False,True,False,True,False,False,True,False,False,False,True
37,True,True,False,True,False,False,False,False,True,False,True,False,False,True,False
39,False,False,True,False,True,True,False,False,True,True,False,True,False,False,True
40,True,False,False,False,True,False,True,False,True,False,True,True,False,False,True
41,False,False,True,False,True,True,False,False,True,True,False,True,False,False,True
42,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True
43,True,True,False,False,True,True,False,True,False,False,True,False,False,True,False
44,True,True,False,True,False,False,False,True,False,False,True,False,True,False,True
45,False,False,True,False,False,True,False,False,True,True,False,True,False,False,True
46,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True
47,True,False,True,False,True,True,False,True,False,True,False,False,False,True,False
48,False,True,False,False,True,True,False,False,True,False,True,True,False,False,True
49,True,True,False,True,False,False,True,True,False,True,False,False,True,False,True
50,True,True,False,True,False,True,False,False,True,True,False,False,False,True,False
52,True,False,True,False,True,False,True,False,True,True,False,False,False,True,False
53,False,False,True,False,True,False,True,True,False,True,False,False,True,False,True
54,False,True,False,False,True,False,True,True,False,True,False,False,True,False,True
55,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True
56,True,False,False,False,True,True,False,False,True,False,True,True,False,False,True
57,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True
58,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True
59,True,True,False,True,False,True,False,False,True,False,True,True,False,False,True
60,True,False,True,True,False,True,False,False,True,False,True,True,False,False,True
62,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True
63,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True
64,True,True,False,True,False,False,True,True,False,False,True,False,True,False,True
65,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True
66,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False
67,True,True,False,False,True,True,False,False,True,False,True,False,False,True,False
68,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True
70,True,True,False,True,False,False,False,True,False,True,False,False,False,False,True
71,True,False,True,False,True,True,False,True,False,False,True,False,False,True,False
72,False,False,True,True,False,False,False,False,True,False,True,True,False,False,True
73,True,True,False,True,False,True,False,True,False,False,True,False,True,False,True
74,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True
75,True,True,False,True,False,True,False,True,False,False,True,False,False,False,True
76,True,False,True,False,True,True,False,False,True,False,True,True,False,False,True
78,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False
79,False,False,False,False,True,True,False,False,True,False,True,True,False,False,True
80,True,True,False,True,False,False,False,True,False,False,True,False,True,False,True
81,True,False,True,False,True,True,False,False,True,False,True,True,False,False,True
82,True,True,False,False,True,True,False,False,True,False,True,False,False,True,False
83,True,True,False,False,False,False,True,False,True,False,True,True,False,False,True
84,True,True,False,False,True,True,False,True,False,False,True,False,True,True,False
85,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False
86,False,True,False,False,True,True,False,False,True,False,True,True,False,False,True
87,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True
88,True,False,False,True,False,True,False,True,False,False,True,False,True,False,True
89,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False
90,True,True,False,False,False,True,False,False,True,True,False,True,False,False,True
91,True,True,False,False,True,True,False,True,False,False,True,False,False,True,False
92,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False
94,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True
95,False,True,False,True,False,False,True,True,False,False,True,False,True,False,True
96,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True
97,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True
98,True,False,True,False,True,True,False,True,False,True,False,False,False,True,False
99,False,True,False,False,True,True,False,True,False,False,True,False,False,False,True
100,True,False,True,False,False,True,False,False,True,True,False,True,False,False,True
101,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True
102,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False
103,True,True,False,True,False,True,False,True,False,False,True,False,False,True,False
104,True,True,False,True,False,True,False,True,False,False,True,False,True,False,True
105,False,True,False,False,True,True,False,False,True,False,True,True,False,False,True
107,True,True,False,True,False,True,False,True,False,False,True,False,False,False,True
108,False,True,False,False,True,True,False,True,False,False,True,False,True,True,False
109,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True
110,True,False,True,True,False,True,False,True,False,False,True,False,False,False,True
111,True,False,True,False,True,True,False,False,True,True,False,True,False,False,True
112,False,True,False,False,False,False,True,False,True,False,True,True,False,False,True
113,True,True,False,True,False,False,False,False,True,False,True,False,False,True,False
114,True,True,False,False,True,True,False,True,False,False,True,False,False,True,False
115,True,False,False,False,True,False,True,False,True,False,True,True,False,False,True
116,False,True,False,False,False,False,True,False,True,False,True,True,False,False,True
117,False,True,False,False,True,True,False,False,True,False,True,True,False,False,True
118,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True
119,True,True,False,True,False,False,True,True,False,False,True,False,True,False,True
120,True,True,False,True,False,True,False,True,False,False,True,False,False,True,False
121,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True
122,True,False,True,True,False,True,False,True,False,True,False,False,False,False,True
123,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True
124,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True
125,True,False,True,False,True,True,False,False,True,True,False,False,False,True,False
126,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False
127,True,False,True,False,True,True,False,False,True,False,True,True,False,False,True
129,True,True,False,False,True,True,False,True,False,False,True,False,True,False,True
130,True,False,True,True,False,False,True,True,False,False,True,False,True,True,False
131,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False
132,False,True,False,False,True,False,False,False,True,False,True,True,False,False,True
133,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True
134,True,False,True,False,True,True,False,True,False,False,True,False,True,True,False
135,False,False,True,False,True,True,False,False,True,True,False,True,False,False,True
136,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True
137,True,True,False,True,False,False,False,False,True,False,True,False,False,True,False
138,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True
139,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True
140,False,True,False,False,False,True,False,False,True,False,True,True,False,False,True
141,True,True,False,True,False,True,False,True,False,False,True,False,False,True,False
142,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True
143,True,True,False,False,True,True,False,True,False,True,False,False,True,True,False
144,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True
145,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False
146,True,True,False,True,False,False,False,False,True,False,True,True,False,False,True
147,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False
148,True,True,False,False,False,True,False,False,True,False,True,True,False,False,True
150,False,True,False,False,True,True,False,True,False,False,True,False,False,True,False
151,True,True,False,False,True,True,False,True,False,False,True,False,True,True,False
152,True,False,True,False,True,True,False,True,False,True,False,False,False,True,False
153,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True
155,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True
156,True,False,True,True,False,True,False,True,False,False,True,False,True,False,True
157,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True
